"Genes"	"Topic"	"count"
"266"	"MICU1"	"ACE2"	0
"267"	"MIPOL1"	"ACE2"	0
"268"	"MIS18BP1"	"ACE2"	0
"269"	"MKL2"	"ACE2"	0
"270"	"MLLT3"	"ACE2"	0
"271"	"MMAA"	"ACE2"	0
"272"	"MNAT1"	"ACE2"	0
"273"	"MOB1B"	"ACE2"	0
"274"	"MORC4"	"ACE2"	0
"275"	"MORF4L1"	"ACE2"	0
"276"	"MOSPD1"	"ACE2"	0
"277"	"MOSPD2"	"ACE2"	0
"278"	"MR1"	"ACE2"	0
"279"	"MRPL3"	"ACE2"	0
"280"	"MRPL47"	"ACE2"	0
"281"	"MSH2"	"ACE2"	0
"282"	"MTDH"	"ACE2"	0
"283"	"MTMR6"	"ACE2"	0
"284"	"MTUS1"	"ACE2"	1
"285"	"MYO6"	"ACE2"	0
"286"	"MYO9A"	"ACE2"	0
"287"	"MYSM1"	"ACE2"	0
"288"	"NAA16"	"ACE2"	0
"289"	"NAA50"	"ACE2"	0
"290"	"NADK2"	"ACE2"	0
"291"	"NAE1"	"ACE2"	0
"292"	"NAP1L1"	"ACE2"	0
"293"	"NBAS"	"ACE2"	0
"294"	"NBEA"	"ACE2"	0
"295"	"NBEAL1"	"ACE2"	0
"296"	"NEGR1"	"ACE2"	0
"297"	"NKAP"	"ACE2"	0
"298"	"NMD3"	"ACE2"	0
"299"	"NNT"	"ACE2"	0
"300"	"NOC3L"	"ACE2"	0
"301"	"NOL8"	"ACE2"	0
"302"	"NR2C1"	"ACE2"	0
"303"	"NSDHL"	"ACE2"	0
"304"	"NSMCE2"	"ACE2"	0
"305"	"NT5DC1"	"ACE2"	0
"306"	"NTN4"	"ACE2"	0
"307"	"NUP54"	"ACE2"	0
"308"	"NXT2"	"ACE2"	0
"309"	"OCRL"	"ACE2"	0
"310"	"ODF2L"	"ACE2"	0
"311"	"OGFOD1"	"ACE2"	0
"312"	"OSBPL8"	"ACE2"	0
"313"	"P4HA1"	"ACE2"	0
"314"	"PALB2"	"ACE2"	0
"315"	"PAPOLA"	"ACE2"	0
"316"	"PDE4DIP"	"ACE2"	0
"317"	"PDE8A"	"ACE2"	0
"318"	"PDIA3"	"ACE2"	0
"319"	"PEX3"	"ACE2"	0
"320"	"PHF14"	"ACE2"	0
"321"	"PHF20L1"	"ACE2"	0
"322"	"PHIP"	"ACE2"	0
"323"	"PHKB"	"ACE2"	0
"324"	"PIAS2"	"ACE2"	0
"325"	"PIBF1"	"ACE2"	0
"326"	"PIGN"	"ACE2"	0
"327"	"PIK3C3"	"ACE2"	0
"328"	"PIK3CA"	"ACE2"	0
"329"	"PKN2"	"ACE2"	0
"330"	"PLA2G4A"	"ACE2"	0
"331"	"PLEKHA5"	"ACE2"	0
"332"	"PLOD2"	"ACE2"	0
"333"	"PNN"	"ACE2"	0
"334"	"PNPLA8"	"ACE2"	0
"335"	"PNRC2"	"ACE2"	0
"336"	"POLA1"	"ACE2"	0
"337"	"POLD3"	"ACE2"	0
"338"	"POLR3C"	"ACE2"	0
"339"	"POSTN"	"ACE2"	0
"340"	"POT1"	"ACE2"	0
"341"	"PPFIA1"	"ACE2"	0
"342"	"PPIG"	"ACE2"	0
"343"	"PPM1B"	"ACE2"	0
"344"	"PPP1CB"	"ACE2"	0
"345"	"PPP1R12A"	"ACE2"	0
"346"	"PPP2R3C"	"ACE2"	0
"347"	"PPP2R5C"	"ACE2"	0
"348"	"PPP3CA"	"ACE2"	0
"349"	"PPP4R3B"	"ACE2"	0
"350"	"PPP6C"	"ACE2"	0
"351"	"PPP6R3"	"ACE2"	0
"352"	"PREP"	"ACE2"	1
"353"	"PRKAA1"	"ACE2"	0
"354"	"PRKDC"	"ACE2"	0
"355"	"PRPF39"	"ACE2"	0
"356"	"PRPF4B"	"ACE2"	0
"357"	"PSMD1"	"ACE2"	0
"358"	"PTDSS1"	"ACE2"	0
"359"	"PTGES3"	"ACE2"	0
"360"	"PTPN2"	"ACE2"	0
"361"	"RAB18"	"ACE2"	0
"362"	"RAB8B"	"ACE2"	0
"363"	"RABGAP1L"	"ACE2"	0
"364"	"RAD17"	"ACE2"	0
"365"	"RAD21"	"ACE2"	1
"366"	"RAI14"	"ACE2"	0
"367"	"RANBP2"	"ACE2"	0
"368"	"RANBP9"	"ACE2"	0
"369"	"RAP1GDS1"	"ACE2"	0
"370"	"RAPGEF2"	"ACE2"	0
"371"	"RARS"	"ACE2"	0
"372"	"RB1"	"ACE2"	0
"373"	"RBBP4"	"ACE2"	0
"374"	"RBM39"	"ACE2"	0
"375"	"RDH11"	"ACE2"	0
"376"	"RFX7"	"ACE2"	0
"377"	"RHOT1"	"ACE2"	0
"378"	"RICTOR"	"ACE2"	0
"379"	"RNMT"	"ACE2"	0
"380"	"ROBO1"	"ACE2"	0
"381"	"ROCK1"	"ACE2"	1
