,outbreak_qid,outbreak,country_qid,country
264,Q86756826,2020 coronavirus outbreak in the Netherlands,Q55,Netherlands
265,Q86847911,2020 coronavirus outbreak in Austria,Q40,Austria
266,Q86886544,2020 coronavirus pandemic in Norway,Q20,Norway
267,Q86913546,2020 coronavirus outbreak in Indonesia,Q252,Indonesia
268,Q86919406,2020 coronavirus outbreak in the Czech Republic,Q213,Czech Republic
269,Q86926476,2020 coronavirus outbreak in Girona,Q29,Spain
270,Q86948603,2020 COVID-19 outbreak in Portugal,Q45,Portugal
271,Q87058723,2020 coronavirus outbreak in Morocco,Q1028,Morocco
272,Q87066621,2020 coronavirus outbreak in Latvia,Q211,Latvia
273,Q87068864,2020 coronavirus pandemic in Greece,Q41,Greece
274,Q87070975,2020 coronavirus pandemic in Israel,Q801,Israel
275,Q87070999,2020 coronavirus outbreak in Bahrain,Q398,Bahrain
276,Q87116829,2020 coronavirus outbreak in Egypt,Q79,Egypt
277,Q87119811,2020 coronavirus pandemic in Hungary,Q28,Hungary
278,Q87121993,2020 coronavirus outbreak in Iceland,Q189,Iceland
279,Q87123561,2020 coronavirus outbreak in San Marino,Q238,San Marino
280,Q87143769,2020 coronavirus outbreak in Auvergne-Rhône-Alpes,Q142,France
281,Q87144034,2020 coronavirus outbreak in Burgondy-Franche-Comté,Q142,France
282,Q87144085,2020 coronavirus outbreak in Centre-Val de Loire,Q142,France
283,Q87144110,2020 coronavirus outbreak in Corse,Q142,France
284,Q87144137,2020 coronavirus outbreak in Great East,Q142,France
285,Q87144163,2020 coronavirus outbreak in Hauts-de-France,Q142,France
286,Q87144245,2020 coronavirus outbreak in Ile-de-France,Q142,France
287,Q87144265,2020 coronavirus outbreak in Normandy,Q142,France
288,Q87144289,2020 coronavirus outbreak in New Aquitaine,Q142,France
289,Q84055514,2020 coronavirus pandemic in India,Q668,India
290,Q87739744,2020 coronavirus pandemic in Guernsey,Q145,United Kingdom
291,Q87740086,2020 coronavirus pandemic in Gibraltar,Q145,United Kingdom
292,Q87740092,2020 coronavirus pandemic in Jersey,Q145,United Kingdom
293,Q87742064,2020 coronavirus pandemic in Equatorial Guinea,Q983,Equatorial Guinea
294,Q87742085,2020 coronavirus pandemic in the Central African Republic,Q929,Central African Republic
295,Q87742114,2020 coronavirus pandemic in the Republic of the Congo,Q971,Republic of the Congo
296,Q87743173,2020 coronavirus pandemic in Northern Cyprus,Q23681,Turkish Republic of Northern Cyprus
297,Q87745216,2020 coronavirus pandemic in Arkansas,Q30,United States of America
298,Q87745903,2020 coronavirus pandemic in Senegal,Q1041,Senegal
299,Q87755488,2020 coronavirus pandemic in the Bahamas,Q778,Bahamas
300,Q87759070,2019–20 coronavirus pandemic in Henan,Q148,People's Republic of China
301,Q87760039,2019–20 coronavirus pandemic in Sichuan,Q148,People's Republic of China
302,Q87768605,2020 coronavirus pandemic in Afghanistan,Q889,Afghanistan
303,Q87144323,2020 coronavirus outbreak in Pays de la Loire,Q142,France
304,Q87144359,2020 coronavirus outbreak in Provence-Alpes-Côte d’Azur,Q142,France
305,Q87144389,2020 coronavirus outbreak in Guadeloupe,Q142,France
306,Q87144431,2020 coronavirus outbreak in Saint-Martin,Q142,France
307,Q87144458,2020 coronavirus outbreak in French Guiana,Q142,France
308,Q87144476,2020 coronavirus outbreak in Saint-Barthélemy,Q142,France
309,Q87144495,2020 coronavirus outbreak in Brittany,Q142,France
310,Q87144502,2020 coronavirus outbreak in Occitania,Q142,France
311,Q87151231,2019–20 coronavirus outbreak in Beijing,Q148,People's Republic of China
312,Q87161441,2020 coronavirus outbreak in Martinique,Q142,France
313,Q87162010,2020 coronavirus pandemic in Réunion,Q142,France
314,Q87162202,2020 coronavirus outbreak in Mayotte,Q142,France
315,Q87186117,2020 coronavirus outbreak in Saudi Arabia,Q851,Saudi Arabia
316,Q87186365,2020 coronavirus outbreak in the Republic of Ireland,Q27,Ireland
317,Q87191204,2020 coronavirus outbreak in Chile,Q298,Chile
318,Q87250695,2020 coronavirus pandemic in Poland,Q36,Poland
319,Q87250713,2020 coronavirus outbreak in Ecuador,Q736,Ecuador
320,Q87250732,2020 coronavirus outbreak in Croatia,Q224,Croatia
321,Q87250752,2020 coronavirus outbreak in Romania,Q218,Romania
322,Q87250770,2020 coronavirus outbreak in Bosnia and Herzegovina,Q225,Bosnia and Herzegovina
323,Q87250788,2020 coronavirus outbreak in Belarus,Q184,Belarus
324,Q87250803,2020 coronavirus outbreak in New Zealand,Q664,New Zealand
325,Q87250819,2020 coronavirus outbreak in Liechtenstein,Q347,Liechtenstein
326,Q87250838,2020 coronavirus outbreak in Lithuania,Q37,Lithuania
